id,title,genre,description,item_detail
0, iPhone 11, Electronics, The latest smartphone from Apple with a powerful processor and improved cameras,"The iPhone 11 is a smart phone released by Apple in September 2019. It has a 6.1-inch LCD screen with a resolution of 1792 x 828 pixels. Equipped with the A13 Bionic chip, it supports dual-mode 4G network and dual-band Wi-Fi. The rear camera includes a 12MP wide-angle lens and a 12MP ultra-wide-angle lens, and the front camera is 12MP. It is available in six colors, starting at $699 for the 64GB version."
1, Adidas Superstar sneakers, Footwear | Fashion," Classic and iconic sneakers with a distinctive shell toe design, perfect for sports and casual wear","The Adidas Superstar is a classic low-top basketball shoe with a rubber shell toe and a leather upper. It has a durable sole and a signature three-strip design. The original price is $60, but you can get discounts or promotions during special periods."
2, Levi's 501 jeans, Clothing | Fashion, Timeless and versatile jeans that are known for their high quality and classic straight leg fit,"Levi's 501 jeans are a classic item of clothing since 1890. It is characterized by its straight shape with a zipper fly and authentic leather patch. The product uses high-quality cotton fabric to ensure comfort and durability. Available in different colors, sizes, and styles, it is a popular choice for both men and women. Prices vary depending on where you buy them, but you can usually find them at affordable prices."
3, Sony PlayStation 5, Electronics | Gaming, The next-generation gaming console with groundbreaking graphics and immersive gaming experiences,"The Sony PlayStation 5 is a next-generation game console developed by Sony Interactive Entertainment. It features an eight-core AMD processor, a custom RDNA 2 graphics processor, and supports 4K resolution and 120Hz refresh rate. The PS5 comes with an ultra-high speed SSD for faster loading times, and supports ray tracing technology to enhance graphics quality. The digital edition of the PS5 costs $400, while the $500 standard edition includes a disc drive for optical media playback."
4, Michael Kors handbag, Accessories | Fashion," Stylish and luxurious handbag designed by Michael Kors, perfect for adding a touch of elegance to any outfit","Michael Kors handbag is a fashionable and high-quality fashion accessory. It features elegant design, durable materials, and practical storage solutions. The price ranges from $100 to $500 depending on the model and features."
5, Nikon D850 DSLR camera, Electronics | Photography," High-end DSLR camera with a high-resolution sensor and advanced features, ideal for professional photographers","The Nikon D850 is a full-frame digital SLR camera with a resolution of 45.4 megapixels. It supports up to 9 fps continuous shooting speed and has a durable frame rate of up to 6.5 fps. The ISO range is from 100 to 25,600, and can be expanded to 50-1,640,000. Equipped with a 3.2-inch touch screen LCD monitor, it supports built-in Wi-Fi and Bluetooth connectivity. The estimated price is $2,796.95."
6, Fitbit Charge 4, Electronics | Fitness," Advanced fitness tracker that monitors heart rate, tracks workouts, and provides personalized insights for optimizing health and fitness","Fitbit Charge 4 is a wearable device designed for health and fitness tracking. It features a built-in GPS, a longer battery life, and an improved heart rate sensor. The device supports over 20 sports modes and can track sleep quality. Fitbit Charge 4 has a price range of $100 to $130 depending on where it's purchased."
7, Samsung 65-inch 4K UHD TV, Electronics | Home Appliances," A large and immersive television with ultra-high-definition resolution, offering stunning picture quality for an exceptional viewing experience",Samsung 65-inch 4K UHD TV features a stunning 65-inch screen with ultra high definition resolution for an immersive entertainment experience. It supports HDR10+ for brighter colors and deeper blacks. The Tizen operating system provides seamless connectivity and easy navigation. Currently available at $897.
8, MAC Ruby Woo lipstick, Beauty | Makeup," A vibrant red lipstick with a matte finish, known for its long-lasting formula and iconic shade","MAC Ruby Woo lipstick is a long-lasting, matte, bright red lipstick with a deep plum color. It contains macadamia oil to moisturize lips and provides a comfortable feeling. The product price varies according to different regions and channels, generally starting from $18 USD."
9, New Balance running shoes, Footwear | Fitness," High-performance running shoes designed for comfort, support, and durability, ideal for avid runners","New Balance running shoes feature high-quality materials, lightweight design, and excellent cushioning performance. They are equipped with a durable sole to ensure stability and support in any environment. The specific price is $69.99."
10, Gucci GG Marmont shoulder bag, Accessories | Fashion," A prestigious and stylish shoulder bag from Gucci, featuring the iconic GG logo and a timeless design",The Gucci GG Marmont shoulder bag is a classic and stylish design with luxurious leather and exquisite craftsmanship. It has multiple functional pockets and can be used for daily life or business occasions. The price starts from $1200 to $3000 depending on the material and color you choose.
11, Canon EOS 5D Mark IV, Electronics | Photography," Professional-grade DSLR camera with exceptional image quality, advanced autofocus, and versatile shooting capabilities","The Canon EOS 5D Mark IV is a professional full-frame digital single-lens reflex camera. It is equipped with a 30.4MP CMOS sensor, supporting 4K video shooting, and has a high-performance DIGIC 6 processor. The continuous shooting speed can reach 7fps, and the ISO range is from 100 to 32000. The body is made of magnesium alloy, and the dust and moisture-proof performance meets the standards of the United States military. The estimated price is $3,600."
12, KitchenAid Stand Mixer, Home Appliances | Kitchenware," A versatile and powerful stand mixer that can handle all your baking needs, from mixing dough to whisking egg whites","The KitchenAid Stand Mixer is a popular kitchen appliance that combines mixing and kneading dough. It has multiple speed settings, variable-speed drive, and a large capacity for different recipes. The product includes a power hub, a tilt-swivel head, and a 6-quart bowl. It is available in various colors at a starting price of $300."
13, L'Oreal Paris Revitalift Anti-Aging Cream, Beauty | Skincare," An effective anti-aging cream that helps reduce wrinkles and improve skin elasticity, leaving it looking firmer and more radiant","L'Oreal Paris Revitalift Anti-Aging Cream is a skin care product designed to help reduce wrinkles and fine lines. It contains collagen and elastin to rejuvenate skin texture, and vitamin C to improve skin luminosity. The recommended retail price is $30 USD."
14, Adidas Predator soccer cleats, Footwear | Sports," High-performance soccer cleats designed for precision and control, enabling players to dominate on the field","The Adidas Predator soccer cleats are designed for professional players to provide them with excellent traction and support. The cleats feature a high-quality synthetic upper material that is lightweight and breathable, ensuring comfort during long games. The insole features an anatomical design for optimal fit and support, while the non-marking outsole provides superior grip on various surfaces. Available in different styles and colors, these cleats start at $100."
